Group ID,Light Treatment  Population white eyed Female,Light Treatment  Population wild type Female,Light Treatment  Population white eyed Male,Light Treatment  Population wild type Male,Light Treatment Frequency for white eyed Allele,Dark Treatment  Population white eyed Female,Dark Treatment  Population wild type Female,Dark Treatment  Population white eyed Male,Dark Treatment  Population wild type Male,Dark Treatment Frequency for white eyed Allele,Reporting year,Chron Order
F20_349,0,17,0,21,0,0,14,0,26,0,F20,152
F20_351,0,18,4,17,0.19,0,15,4,21,0.16,F20,149
F20_353,4,18,4,13,0.235,1,20,11,8,0.579,F20,150
F20_355,0,18,1,21,0.045,9,12,10,9,0.526,F20,151
F20_357,0,17,0,24,0,0,16,0,24,0,F20,147
F20_363,0,14,0,26,0,0,17,4,19,0.174,F20,159
F20_365,0,22,6,13,0.316,0,20,4,15,0.211,F20,158
F20_367,12,8,9,11,0.45,3,14,7,15,0.318,F20,163
F20_369,13,7,8,12,0.4,11,14,4,11,0.267,F20,155
F20_371,2,12,4,22,0.154,11,10,11,8,0.579,F20,154
F20_373,0,19,0,21,0,0,18,0,22,0,F20,153
F20_379,0,20,1,19,0.05,2,17,7,13,0.35,F20,164
F20_381,0,19,7,14,0.333,0,12,8,20,0.286,F20,162
F20_383,3,17,9,11,0.45,7,14,6,13,0.316,F20,160
F20_385,4,17,5,14,0.263,0,19,12,9,0.571,F20,157
F20_389,2,18,1,19,0.05,2,20,1,17,0.056,F20,156
F20_395,3,17,8,12,0.4,1,18,7,11,0.389,F20,177
F20_397,3,17,7,13,0.35,0,15,12,13,0.48,F20,169
F20_399,1,20,0,19,0,0,23,5,12,0.294,F20,175
F20_401,2,18,2,18,0.1,3,17,4,16,0.2,F20,181
F20_403,0,18,0,22,0,8,13,11,8,0.579,F20,172
F20_405,3,17,8,12,0.4,4,16,6,14,0.3,F20,178
F20_407,1,19,1,19,0.05,2,16,19,3,0.864,F20,168
F20_411,0,14,0,26,0,0,17,0,24,0,F20,189
F20_413,0,19,4,18,0.182,0,17,0,23,0,F20,188
F20_415,1,20,0,19,0,0,24,0,16,0,F20,190
F20_417,0,19,0,21,0,1,20,0,19,0,F20,187
F20_419,0,15,7,18,0.28,8,13,11,8,0.579,F20,185
F20_421,0,17,8,16,0.333,0,15,10,14,0.417,F20,182
F20_423,0,21,6,13,0.316,0,20,20,0,1,F20,180
F20_425,0,20,2,16,0.111,1,19,0,19,0,F20,183
F20_427,0,17,0,23,0,0,18,0,22,0,F20,173
F20_429,0,9,9,11,0.45,3,17,6,14,0.3,F20,171
F20_431,1,18,3,18,0.143,4,22,1,14,0.067,F20,166
F20_432,0,21,6,13,0.316,0,20,20,0,1,F20,176
F20_433,0,21,2,17,0.105,1,18,7,14,0.333,F20,167
F20_435,0,20,7,13,0.35,9,12,11,8,0.579,F20,174
F20_437,0,17,11,13,0.458,0,14,12,14,0.462,F20,179
